name,price,bottle,type_wine,region,grapes,producer,wine_description,tasting_descr,tasting_view,tasting_bouquet,tasting_mouth,serving_storage_conditions,serve_temperature,food_pairing,alergens,alcohol_content,production,winemaking_info,vessel_material,aging_period,casks_age,casks_wood,more_winemaking_info,vineyards,type_agriculture,vineyard_age,soil_type,climate,orientation,surface,customer_reviews,customer_reviews_number,last_score_parker,last_score_penin,last_score_year,image,url,year,last_score_parker_num
Oriol Artigas SOS #8 Frisach & Tuets 2020,£18.95,,Rosé wine,Wines without GI ,"Parellada, Garnacha",Oriol Artigas Viticultor,,,,,,,,,Contains sulfites,10.0,,,Stainless steel,7 months,,,,,,Sand / Limestone / Loess,Mediterranean,Southeast,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/oa8ft20_anv800_1630401586.png,https://www.vinissimus.com/en/wine/oriol-artigas-sos-8-frisach-tuets/,2020.0,
Tinto Pesquera Millenium Gran Reserva 2015,£83.60,,Red wine,Ribera del Duero ,Tempranillo,Tinto Pesquera,"Alejandro Fernández has been intrinsically linked to vine-growing in the Ribera del Duero region for nearly 40 years, following in his father's footsteps and the family tradition. When his first 'Tinto' was released in 1975, he had fulfilled his ambition, perhaps unwittingly then, to produce a great wine. This is the original, his flagship winery, which helped to secure the successful fortunes of a nascent wine-producing DO, where the Tempranillo grape variety has always...",,Picota cherry red / Violet glints / Ruby-red rim / Bright,Fruit aromas / Spicy notes / Red fruit / Balsamic notes,Balanced / Warm / Elegant / Good entry / Fine / Long finish / Persistent,,Serve between 17ºC and 18ºC,,Contains sulfites,14.0,,,,,,,,,,,,,,,5.0,1,,93.0,2015.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/tpmr15_anv800.png,https://www.vinissimus.com/en/wine/tinto-pesquera-millenium-reserva/,2015.0,
El Corazón de la Tierra 2013,£27.50,,Red wine,Ribera del Duero ,Tempranillo,Bodegas Virgen de la Asunción,Prepared from strains between 770 and 90 years old.,,,,,,,,Contains sulfites,14.0,,,,,,,,,,,,,,,0.0,0,90,,2013.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/cozti13_anv800.png,https://www.vinissimus.com/en/wine/el-corazon-de-la-tierra/,2013.0,90.0
Suertes del Marqués Vidonia V.P. 2020,£64.90,,White Wine,Valle de La Orotava ,Listán Blanco,Bodega Suertes del Marqués,"Bodega Soagranorte lies in 9 hectares of vineyards, situated on the island of Tenerife and right in the middle of La Orotava (Las Suertes), a famous wine-growing area.  The estate extends over lands that vary in altitude from 350 to almost 700 metres above sea level.The majority of the vineyard site is taken up with centuries-old vines of the Listán Negro and Blanc grape varieties, grown on a multiple cordon system; in the rest of the vineyard there is a mixture of both young...",,,,,,,,Contains sulfites,12.5,"1,290  bottles",,11 months,New,French oak,,,,,Clay / Sand,Northeast / Northwest,,,,0.0,0,96,,2020.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/vdnvp20_anv800_1644340468.png,https://www.vinissimus.com/en/wine/suertes-del-marques-vidonia-v-p/,2020.0,96.0
Agustí Torelló Mata Xic Vermell 2019,£11.00,,Rosé wine,Penedès ,Xarel·lo Vermell,Cavas Agustí Torelló,"Agustí Torelló Mata was a pioneer, setting up his own Cava winery in 1959. Ever since then, his name has virtually become a synonym for Cava, thanks to his top quality sparkling wines. The family's commitment to this endeavour and the constant effort and work of an excellent team of professionals have achieved, year after year, the miracle of sparkling wines with a unique personality, producing complex and exceptional Cavas from the very best grapes.

The winery itself is in...",,Pink / Salmon / Bright,Fragrant / White fruit / Dried flowers / Herbaceous notes,Fresh / Smooth / Slight bitterness,,Serve between 6ºC and 8ºC,,Contains sulfites,11.5,,,Stainless steel,,,,,,Organic,Calcareous-clay,Mediterranean,,,,4.0,4,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/atmv19_anv800.png,https://www.vinissimus.com/en/wine/agusti-torello-mata-xic-vermell/,2019.0,
El Patito Feo Caíño-Sousón 2021,£21.50,,Red wine,Ribeiro ,"Caiño Tinto, Sousón",Pateiro Vinos de Guarda,,,Picota cherry red / Garnet glints,Fruit aromas / Hardwoods / Smoky notes / Caramel / Wild fruits,Powerful / Full / Varietal notes / Good acidity / Fresh / Pleasant finish / Persistent,,Serve between 14ºC and 16ºC,,Contains sulfites,13.0,"4,000  bottles",,,,,,,,,,,,,,5.0,2,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/pfeoc21_anv800.png,https://www.vinissimus.com/en/wine/patito-feo-caino/,2021.0,
Aessir Expresión Tinto 2016,£13.30,,Red wine,Terra Alta ,"Cariñena, Garnacha, Syrah",Bodegas Aessir,,,Ruby red / Intense / Violet glints,Fruit aromas / Black fruit / Red fruit / Spicy notes / Complex,Rich / Dense / Fresh / Complex / Persistent / Long / Red fruit,,Serve between 16ºC and 18ºC,,Contains sulfites,14.0,,,Wood,6 months,French oak,,,,,30 years,Calcareous-clay,Mediterranean,Low yields,10.00 hectares,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/aesst16_anv800.png,https://www.vinissimus.com/en/wine/aessir-expresion-tinto/,2016.0,
Monteabellón Verdejo 2020,£11.65,,White wine,Rueda ,Verdejo,Bodegas y Viñedos Monteabellón,,,Straw yellow / Clean / Bright,Floral scents / Primary aromas / Exotic fruit / Banana,Well-integrated acidity / Fresh / Expressive / Enveloping / Pleasant,,Serve between 6ºC and 8ºC,,Contains sulfites,12.5,,,,,,,,,,,,,,,4.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/montv20_anv800.png,https://www.vinissimus.com/en/wine/monteabellon-verdejo/,2020.0,
Peique Rosado sobre Lías 2020,£10.30,,Rosé wine,Bierzo ,Mencia,Bodegas Peique,"Made using grapevines aged between 45 and 55 years old, grown at altitudes of 450 to 580 metres. A passionate, enticing Mencía rosé.","For many years, the Mencia wines of the Bierzo appellation didn't manage to achieve recognition as top-quality wines. At the end of the nineteen nineties, however, a new generation of oenologists rediscovered the oldest vines and hidden treasures of this region and applied suitable wine-production methods to make the most of the true potential of the Mencia variety. Jorge Peique was one of these winemakers. In 1999 he founded the Bodegas Peique winery in Valtuille de Abajo where...",Pale pink / Quite intense,Fruit aromas / Ripe red fruit / Ripe strawberry / Ripe cherry,Good acidity / Fruit-forward / Vivacious / Rich / Medium-bodied / Crunchy,,,,Contains sulfites,12.5,,,,,,,,,,,,,,,4.0,2,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/peiro20_anv800_1643213793.png,https://www.vinissimus.com/en/wine/peique-rosado-sobre-lias/,2020.0,
Ay de Mi 2016,£17.00,,Red wine,Terra Alta ,"Garnacha, Syrah",Vins del Tros,"
",,,,,,,,Contains sulfites,14.5,,,12 months,Semi-new,French oak,,,,,,,,,,5.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/aydmi16_anv800.png,https://www.vinissimus.com/en/wine/ay-de-mi/,2016.0,
Jean Leon Xarel·lo 2019,£18.50,,White wine,Penedès ,Xarel·lo,Jean Leon,"The Jean Leon Nativa range, made with native Catalan varieties, is a tribute to Penedès, a place chosen by Jean Leon to fulfill the dream of making a wine that bears his name. The Catalan tile, a valuable testimonial piece of our history and popular life, inspires this collection. The Rosa de los Vientos illustrates this ecological, fresh and elegant xarel·lo, made 100% with the quintessential Penedès variety. 12 days of alcoholic fermentation at a controlled temperature of 15oC. Aged on fine lees and a small percentage aged in acacia barrels for 3 months.  Bright yellow color with greenish trim. On the nose it stands out for its citrus, fennel and nutmeg aromas against a background of white fruit. In the mouth, fresh entry and frank acidity. This fine and elegant acidity accompanies the entire journey in the mouth. It presents a soft and persistent finish sweetened by its volume and smoothness, the result of work on the lees.","Founded in 1964, the Jean Leon winery is owned today by the Torres group, but preserves the spirit and philosophy of its creator, Jean Leon, a notable figure with very close links to the world of cinema and the Hollywood glamour of the 1950s and 60s.

Quite a legend inside and outside the sphere of wine, Jean Leon is none other than Ceferino Carrión, from Santander and a humble background.  After a complicated childhood that took him to Barcelona, Paris and New York, he...",Yellow / Bright / Greenish rim,Fruit aromas / White fruit / Citrus fruits / Fennel / Nutmeg,Good entry / Fresh / Well-integrated acidity / Elegant / Smooth / Persistent,,Serve between 7ºC and 9ºC,,Contains sulfites,13.0,,,,,,,,,Organic,,,,,,3.3,3,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/jlxll19_anv800.png,https://www.vinissimus.com/en/wine/jean-leon-xarel-lo/,2019.0,
Luis Pérez Marismilla 2020,£13.90,,Rosé wine,Cádiz ,Tintilla de Rota,Bodegas Luis Pérez,"Luis Pérez Rodríguez is a well-known oenologist in the Jerez region and, with this bodega and the support of his whole family, he has restored the making of fine quality red wines, upholding a tradition that had lasted not merely for some time but for three thousand years.
In 2002, he acquired the Vistahermoso estate, right in the heart of Jerez's vineyard country, and began producing his wines, ones that were deemed 'signature'. They are small-scale, hand-crafted creations,...",,,,,,Serve between 6ºC and 8ºC,,Contains sulfites,13.5,,,,,,,,,,,,,,,4.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/maris20_anv800.png,https://www.vinissimus.com/en/wine/luis-perez-marismilla/,2020.0,
Álvaro Domecq PX 1730 (0.37 L),£28.10,,Natural sweet wine,Jerez-Manzanilla ,Pedro Ximénez,Álvaro Domecq,,,Very dark mahogany,Profound / Higly aromatic / Dried grape / Dates / Dried figs / Cedar wood / Clove / Walnut,With body / Harmonious / Velvety / Delicate / Balanced / Powerful / Long,,,,Contains sulfites,17.0,,,,,,,,,,,,,,,4.5,2,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/d1730px_anv800.png,https://www.vinissimus.com/en/wine/alvaro-domecq-px-37-5cl/,,
Rioja Santiago Crianza 2017,£10.50,,Red wine,Rioja ,"Tempranillo, Garnacha",Rioja Santiago,,,Picota cherry red / Garnet glints,Fruit aromas / Red fruit / Ageing notes / Toasty notes,Balanced / With body / Rounded / Pleasant finish / Long / Persistent,,Serve between 16ºC and 18ºC,,Contains sulfites,13.5,,,12 months,American oak,,,,,,,,,,,4.5,2,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/rstcr17_anv800.png,https://www.vinissimus.com/en/wine/rioja-santiago-crianza/,2017.0,
Calvente Finca de Castillejos 2009,£21.10,,Red wine,Granada ,"Cabernet Sauvignon, Syrah",Bodega Horacio Calvente,,,,,,,Serve between 15ºC and 16ºC,,Contains sulfites,13.5,,,,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/calvs09_anv800.png,https://www.vinissimus.com/en/wine/calvente-finca-de-castillejos/,2009.0,
Verónica Ortega La Llorona 2019,£30.20,,White wine,Bierzo ,Godello,Verónica Ortega,,,,,,,,,Contains sulfites,12.5,,,15 months,French oak,,,,,Organic,35 years,Sand,,,,0.0,0,94,,2019.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/vollr19_anv800.png,https://www.vinissimus.com/en/wine/veronica-ortega-la-llorona/,2019.0,94.0
La Fassina Trepat 2018,£23.05,,Red wine,Conca de Barberà ,Trepat,Costador Terroirs Mediterranis,"Probably not everyone knows that Catalonia, in the hinterland of the Tarragona hills, hides one of the areas traditionally best suited to orange wines produced using ancestral methods. In the municipality of Barberà de la Conca, the Costador Terroirs Mediterranis winery has the merit of having brought to light this heritage of ancient traditions, offering a range centred on risk, experimentation and uncompromising quality. Extreme soils, limestone...",,Crimson red / Intense,Strawberries / Blackberries / Spices / White pepper / Nutmeg / Fresh herb,Fresh / Delicate / Rich / Long,,Serve between 15ºC and 17ºC,,Contains sulfites,13.0,,,Amphoras,New and second year,French oak,,,,,100 years,Red clay / Limestone,Mediterranean with continental influence,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/fasst18_anv800.png,https://www.vinissimus.com/en/wine/la-fassina-trepat/,2018.0,
Tierra Savia Mirlo 2021,£14.40,,White wine,Wines without GI ,Viognier,Bodegas Tierra Savia,,,Greenish yellow,Fruit aromas / Tropical fruit / Banana / Mineral notes / White flowers / Exotic,Fresh / Full / Voluminous / Good acidity,,,,Contains sulfites,13.0,,,,,,,,,Organic,,,,,,5.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/tsmrl21_anv800.png,https://www.vinissimus.com/en/wine/tierra-savia-mirlo/,2021.0,
Pago de Larrainzar 2007,£28.45,,Red wine,Navarre ,"Merlot, Cabernet Sauvignon, Tempranillo",Bodegas y Viñedos Pago de Larrainzar,"High quality wine with personality, prepared under the direction of Miguel Ignacio winemaking.",,Picota cherry red / Intense / Opaque,Ripe fruit / Ageing notes / Compote / Mineral notes / Coffee / Pepper,Structured / Flavoursome / Rich / Fruit-forward / Long finish,,Serve between 16ºC and 17ºC,,Contains sulfites,14.5,,,,,,,,,,,,,,,0.0,0,,93.0,2007.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/plarr07_anv800.png,https://www.vinissimus.com/en/wine/pago-de-larrainzar/,2007.0,
Primi Luis Gurpegui Graciano 2019,£9.05,,Red wine,Rioja ,Graciano,Bodegas Luis Gurpegui Muga,,,Picota cherry red / Intense / Opaque,Very aromatic / Fruit aromas / Red fruit / Black fruit / Spicy notes / Eucalyptus / Ageing notes / Roasted notes,Elegant / Fresh / Rounded / Ripe tannins / Long finish / Persistent,,,,Contains sulfites,13.5,,,4 months,French and American oak,,,,,,,,,,,4.5,2,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/lgmgr19_anv800.png,https://www.vinissimus.com/en/wine/primi-luis-gurpegui-graciano/,2019.0,
Pla dels Àngels de Scala Dei 2021,£32.75,,Rosé wine,Priorat ,Garnacha,Celler Scala Dei,"This rosé wine will leave its mark on you. It deserves a place among the great wines — not just among its peers, but also up alongside all the great red and white wines. The Pla dels Angels is an excellent wine — complex, fresh, refined, extremely versatile, and also perfect for drinking on its own. Pure pleasure and seduction.
Produced with the 2014 harvest by the experienced hands of Ricard Rofes, who is in charge of the new direction taken by this pioneering celler in the Priorat, the Pla dels Angels wine is made with fruit from one plot. The Pla dels Angels plot is a Grenache vineyard in clay soils at an altitude of 500-600 metres. The characteristics here are completely different from those which we are used to seeing in the Priorat. Here the Grenache vines grow in a triply fresh environment thanks to the altitude, the soil, and the viticulture techniques, developed to avoid overripening of the fruit.
Its pale pink colour in the glass gives a clue to its delicateness, but fools us with regards to its intensity. This rosé wine has a strong impact on the nose, and especially in the mouth. A remarkable strength and intensity, unctuous but lively, fresh, balanced, and extremely fine at the same time. A serious wine, rich in citrus aromas to the forefront, backed up by aromas of fresh strawberries and other crispy red fruits such as cherries or watermelon, with white peach, fresh grass, fennel and anise... you won't be able to stop smelling and tasting this wine!","Cellers Scala Dei is the founding winery of DOQ Priorat and a benchmark for quality even before the area was rediscovered in the 1980s. They are heirs to the tradition of the Carthusian monks, who selected the best payments in the region, and were the first to sell bottled wines, in 1973.  Forgotten for a time, it has regained its vitality and has become one of the best references in the appellation since it became part of the Codorníu Group and the enology management was...",Pale pink,Higly aromatic / Fragrant / Red fruit / Aniseed,Fresh / Fine / Enveloping,,Serve between 12ºC and 14ºC,,Contains sulfites,14.5,"2,000  bottles",,Mediterranean,,,,,,,,,,,,4.3,8,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/pdans21_anv800_1650979194.png,https://www.vinissimus.com/en/wine/pla-dels-angels-de-scala-dei/,2021.0,
Familia Pacheco Selección 2019,£16.00,,Red wine,Jumilla ,Monastrell,Bodegas Viña Elena,,,Picota cherry red / Quite opaque,Higly aromatic / Ripe red fruit / Balsamic aromas / Cocoa / Pepper / Wood / Jam,Fresh / Balanced / Ripe tannins / Ageing notes / Well-integrated wood / Elegant / Persistent / Balsamic aromas / Spicy notes,,Serve between 15ºC and 17ºC,,Contains sulfites,14.5,,,,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/fpsel19_anv800.png,https://www.vinissimus.com/en/wine/familia-pacheco-seleccion/,2019.0,
Trus Viñedos de Quintanilla 2016,£33.60,,Red wine,Ribera del Duero ,Tempranillo,Bodegas Trus,"Made from 25-year-old Tempranillo, grown at an altitude above 750 meters, on loamy soils with lime and the particularity of a deep glassy rock. aged for 12 months in French and American oak barrels.  Intense cherry color, high layer. Very nice and intense nose. It reflects the aromatic potential of a large vineyard in the Ribera de Duero. ripe black fruit predominates with fine spicy tones, typical of aging. The palate is very deep, long-distance, with tannin and acidity typical of Ribera del Duero wines. Extraordinary to drink now, if you are looking for a powerful wine with calcareous soil, but also with great potential for storage.",,Picota cherry red / Intense / Opaque,Pleasant / Higly aromatic / Fruit aromas / Ripe black fruit / Spicy notes / Ageing notes / Mineral / Expressive,Profound / deep / Long / Good acidity / Powerful / Full-bodied / Spicy notes / Mineral notes / Persistent,,16ºC,,Contains sulfites,15.0,,,12 months,French and American oak,,,,,,,,,,,0.0,0,,94.0,2016.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/tvqnt16_anv800.png,https://www.vinissimus.com/en/wine/trus-vinedos-de-quintanilla/,2016.0,
Pricum Aldebarán 2008 (0.5 L),£22.85,,Late harvest,Tierra de León ,Verdejo,Bodegas Margón,"We find at Bodegas Margón the master hand of Raúl Pérez, working alongside the Martínez and González families to produce wines from the Prieto Picudo variety.
The grapes come from old vineyards in Pajares de los Oteros, where the vines are left untrained without trellising, and the grapes are picked by hand at just the right moment.",,Yellow / Clean / Bright,Fruit aromas / Ripe fruit / Floral scents / Dried flowers / Herbaceous notes / Complex,Elegant / Balanced / Unctuous / Fresh / Crunchy / Flavoursome / Fruit-forward,,,,Contains sulfites,14.5,,,,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/prald08_anv800.png,https://www.vinissimus.com/en/wine/pricum-aldebaran/,,
Alento 2012,£18.10,,White wine,Valdeorras ,Godello,Bodega Roandi,,,Deep yellow / Straw yellow / Bright / Clean,Frank / Fruit aromas / Ripe fruit / Apple / Apricot / Aniseed aromas / Balsamic notes / Fine woods / Herbaceous notes / Camomile tea / Fennel,Good acidity / Full / Structured / Harmonious / Fruit-forward / Slightly bitter / Varietal notes,,Serve between 10ºC and 12ºC,,Contains sulfites,13.0,,,,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/alent12_anv800.png,https://www.vinissimus.com/en/wine/alento/,2012.0,
Calvente Finca La Guindalera 2017,£17.75,,White wine,Granada ,Muscat of Alexandria,Bodega Horacio Calvente,"A wine from the VT Granada Suroeste (Southwest), made from grapes of the Muscat of Alexandria variety, grown in vineyards that average some 40 years-old, situated at an altitude of 900 metres in the Sierra de Cázulas.  An excellent opportunity to become acquainted with a dry Moscatel from Andalucía.",,,,,,Serve between 6ºC and 8ºC,,Contains sulfites,12.5,,,,,,,,,,,,,,,5.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/calvb17_anv800.png,https://www.vinissimus.com/en/wine/calvente-finca-la-guindalera/,2017.0,
Terramoll Es Monestir 2012,£43.60,,Red wine,Formentera ,"Monastrell, Merlot",Bodega Terramoll,,,,,,,,,Contains sulfites,13.5,,,,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/esmon12_anv800.png,https://www.vinissimus.com/en/wine/terramoll-es-monestir/,2012.0,
Teulera Ancestral 2019,£18.25,,Pet Nat wine,Catalunya ,Parellada montonega,Heretat Mascorrubí,,,,,,,,,Contains sulfites,12.5,"1,500  bottles",,Mediterranean,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/teuan19_anv800.png,https://www.vinissimus.com/en/wine/teulera-ancestral/,2019.0,
Bernabeleva Arroyo del Tórtolas 2017,£33.20,,Red wine,Vinos de Madrid ,Garnacha,Bodega y Viñedos Bernabeleva,"The Bernabeleva estate was acquired in 1923 by Vicente Álvarez-Villamil, and over the years since then his descendants have steadfastly and carefully cared for the grapevines planted by Don Vicente.
Their work philosophy is based on maximum respect for the environment, endeavouring to retain the best qualities of the vines, and the different expressions they show depending on the orientation, vegetation, altitude and soil. At their disposal they have 35 hectares of old...",,Picota cherry / Garnet rim,Ripe red fruit / Spices / Dry grass / Mineral / Earth,Balsamic aromas / Flavoursome / Balanced / Elegant,,Serve between 15ºC and 17ºC,,Contains sulfites,13.5,"2,500  bottles",,14 months,French oak,,,,,,69 years,Granit,Continental,Low yields,1.00 hectares,2.0,2,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/beato17_anv800.png,https://www.vinissimus.com/en/wine/bernabeleva-arroyo-del-tortolas/,2017.0,
Tarima Hill Blanco 2020,£16.25,,White wine,Alicante ,"Chardonnay, Merseguera",Bodegas Volver,"Bodegas Volver belongs to a group of wineries run by Jorge Ordóñez, a renowned importer of Spanish wines in the United States, which also includes Bodegas Alto Moncayo, Bodegas Avanthia, Bodegas La Cana and Jorge Ordóñez & Co.",,Deep yellow / Bright,Fruit aromas / Ripe fruit / Pineapple / Mango / White-fleshed peaches / Ageing notes / Vanilla / Honey / Spicy notes,Flavoursome / Balanced / Good acidity / Pleasant finish / Intense / Long,,,,Contains sulfites,13.5,,,,,,,,,,,,,,,5.0,2,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/tarhb20_anv800.png,https://www.vinissimus.com/en/wine/tarima-hill-blanco/,2020.0,
Abadengo Selección Especial 2015,£26.65,,Red Wine,Arribes ,"Juan García, Bruñal",Bodegas Ribera de Pelazas,,,,,,,Serve between 16ºC and 18ºC,Red meatCured cheesesGame,Contains sulfites,14.0,,,24 months,French and Romanian oak,,,,,,100 years,Sandy loam / Slate,Continental with Mediterranean influence / Continental with Atlantic influence,Very low yields,600.00 meters,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/abase15_anv800_1644338712.png,https://www.vinissimus.com/en/wine/abadengo-seleccion-especial/,2015.0,
Tomás Esteban 2009,£70.90,,Red wine,Ribera del Duero ,Tempranillo,Bodegas y Viñedos Valderiz,"Tomás Esteban is an acknowledgement to the Ribera del Duero vine-grower, who learned to prune from his father, who had been taught by his grandfather. The “La Guindalera” vines have produced this wine and bear testimony to their exceptional cultivation.
This Tinta del País wine is the fruit of work carried out using methods handed down through the ages, attesting to wine-making practices from time immemorial.
A deep cherry colour, clean and bright in appearance, the wine is generous and intense on the nose, with fruit and oaky notes. Complex and corpulent, fruit aromas appear on the palate.
Matured for more than 18 months in French oak barrels.","Tomás Esteban comes from a vine-growing family firmly rooted in ages past.
At present, the land under plantation at Bodegas y Viñedos Valderiz comprises the 60 hectares planted by Tomás Esteban and 10 more hectares which once belonged to his father. They are spread out among 35 or more parcels located on different soils and with various orientations around his home-town of Roa.
The family has been a forerunner in the field of organic agriculture in the Ribera del Duero region,...",,,,,Serve between 18ºC and 20ºC,,Contains sulfites,14.5,,,,,,,,,,,,,,,5.0,1,93,94.0,2009.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/toest09_anv800.png,https://www.vinissimus.com/en/wine/tomas-esteban/,2009.0,93.0
Flavus 2015,£14.00,,White wine,Castile and León ,Palomino Fino,Viña Sastre,"Today, Viña Sastre is one of the Ribera del Duero's benchmark wineries, known and appreciated both for the wines of its traditional line (Rosé, Roble and Crianza) and also for the wines belonging to its top-quality range: Pago Santa Cruz, Acos, Regina Vides and the legendary Pesus, of which only 1,800 bottles are made a year.

This great little family-run winery started out in the mid-twentieth century when Severiano Sastre planted some vineyards which as time passed would...",,Straw yellow / Semi-opaque / Golden glints,Higly aromatic / Floral scents / Aromatic herbs / White flowers / Fresh fruit / Clean / Fragrant,Balanced / Good acidity / Powerful / Flavoursome,,Serve between 8ºC and 10ºC,,Contains sulfites,13.0,,,Stainless steel,Bottled unfined and unfiltered,,,,,,Between 60 and 100 years,Calcareous-clay,Continental,,,4.5,2,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/flavu15_anv800.png,https://www.vinissimus.com/en/wine/flavus/,2015.0,
Baloiro Reserva 2010,£22.10,,Red wine,Bierzo ,Mencia,Bodega Luzdivina Amigo,,,,,,,,,Contains sulfites,14.5,,,,,,,,,,,,,,,5.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/balre10_anv800.png,https://www.vinissimus.com/en/wine/baloiro-reserva/,2010.0,
Can Ràfols dels Caus El Rocallís 2017,£42.95,,White wine,Penedès ,Incrocio Manzoni,Can Ràfols dels Caus,,,Yellow / Golden glints / Bright / Clean,Fresh / Floral scents / Jasmine / Fruit aromas / Exotic fruit,Creamy / Balsamic notes / Honey / Citrus notes / Dried fruits and nuts / Almond / Long,,12ºC,,Contains sulfites,13.0,,,,,,,,,,,,,,,4.5,2,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/rocal17_anv800.png,https://www.vinissimus.com/en/wine/can-rafols-dels-caus-el-rocallis/,2017.0,
Estones PX 2019,£23.15,,White wine,Terra Alta ,Pedro Ximénez,Estones Vins,"Estones Vins is a micro-vinification project which began as a form of ‘amusement’ for two friends who shared the same approach to wine: Salvi Moliner, winemaker at Oriol Rossell, and sommelier Sergi Montalà.

They could both count on extensive experience in the wine world and, passionate about their profession, they longed to be able to have their own wines. Thus the project started with their first wine, Secret de Mas Sersal, which soon had its name changed to Estones, and...",,,,,,,,Contains sulfites,14.0,,,,,,,,,,,,,,,5.0,2,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/estpx19_anv800.png,https://www.vinissimus.com/en/wine/estones-px/,2019.0,
Sanmarti 1018 Garnatxa i Sumoll 2016,£22.40,,Red wine,Pla de Bages ,"Garnacha, Cariñena",Celler Sanmartí,,,Garnet / Quite opaque / Bright / Clean,Mature / ripe / Varietal aromas / Dried flowers / Figs / Fruit aromas / Red fruit / Graphite,Sweet / Warm / With volume / Good acidity / Crunchy / Fruit notes / Cherries / Long / Fresh,,,,Contains sulfites,14.5,,,Wood,12 months,Oak,,,,,80 years,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/sgxsm16_anv800.png,https://www.vinissimus.com/en/wine/sanmarti-garnatxa-i-sumoll/,2016.0,
César Márquez La Salvación 2020,£27.70,,White wine,Bierzo ,Godello,César Márquez,,,Straw yellow / Clean / Bright,Fruit aromas / Elegant / Seductive / Ageing notes,Well-integrated wood / Balanced / Flavoursome,,Serve between 9ºC and 11ºC,,Contains sulfites,12.5,,,12 months,New,French oak,,,,,,,,,,0.0,0,95,,2020.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/cmsvc20_anv800.png,https://www.vinissimus.com/en/wine/cesar-marquez-la-salvacion/,2020.0,95.0
